Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Centre,03/05/2020,0,,0,162385,0,,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Lehigh,03/13/2021,71,82.1,31915,369318,19.2,22.2,8641.6,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Luzerne,08/04/2020,26,20.7,3407,317417,8.2,6.5,1073.4,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Pennsylvania,08/04/2020,754,814.7,116551,12801989,5.9,6.4,910.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Berks,10/29/2020,94,112.4,9494,421164,22.3,26.7,2254.2,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Monroe,07/28/2020,8,5.1,1580,170271,4.7,3,927.9,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Monroe,08/18/2020,4,3.4,1684,170271,2.3,2,989,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,05/30/2020,0,0.7,58,44923,0,1.6,129.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,07/08/2020,0,0.6,100,44923,0,1.3,222.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Philadelphia,01/20/2021,542,512.4,100648,1584064,34.2,32.3,6353.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Elk,01/19/2021,15,35.4,1997,29910,50.2,118.5,6676.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Philadelphia,03/18/2021,533,365.9,119444,1584064,33.6,23.1,7540.4,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Schuylkill,04/18/2020,6,9.9,267,141359,4.2,7,188.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Cumberland,10/29/2020,28,26.4,2545,253370,11.1,10.4,1004.5,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Mifflin,01/22/2021,22,28.9,4126,46138,47.7,62.5,8942.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Snyder,03/30/2021,4,4.7,3297,40372,9.9,11.7,8166.6,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Mifflin,03/14/2021,1,5.6,4668,46138,2.2,12.1,10117.5,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Pike,01/03/2021,4,19.4,1519,55809,7.2,34.8,2721.8,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Dauphin,10/03/2020,27,23,3952,278299,9.7,8.3,1420.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Dauphin,05/01/2020,19,18,625,278299,6.8,6.5,224.6,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Clarion,03/12/2021,7,5.6,2747,38438,18.2,14.5,7146.6,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
York,08/06/2020,41,31,2494,449058,9.1,6.9,555.4,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Monroe,09/29/2020,4,3.7,1821,170271,2.3,2.2,1069.5,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,06/07/2020,1,2.3,74,44923,2.2,5.1,164.7,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Monroe,03/20/2021,45,57.6,10747,170271,26.4,33.8,6311.7,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Forest,04/04/2021,0,0.4,1396,7247,0,5.9,19263.1,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Monroe,03/29/2021,120,76.7,11369,170271,70.5,45.1,6677,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,06/14/2020,1,1.6,85,44923,2.2,3.5,189.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Monroe,07/17/2020,7,3.6,1505,170271,4.1,2.1,883.9,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Philadelphia,05/29/2020,182,158.1,17976,1584064,11.5,10,1134.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Berks,02/07/2021,90,128.9,33613,421164,21.4,30.6,7981,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Armstrong,08/28/2020,5,5.3,318,64735,7.7,8.2,491.2,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Monroe,09/20/2020,2,2.4,1789,170271,1.2,1.4,1050.7,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Monroe,09/07/2020,3,3.9,1754,170271,1.8,2.3,1030.1,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Monroe,10/06/2020,12,5.3,1858,170271,7,3.1,1091.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Washington,03/14/2021,4,33.1,14187,206865,1.9,16,6858.1,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
